labels,timestamp,value
{},1700080144,10
{},1700080149,10
{},1700080154,10
{},1700080159,10
{},1700080164,10
{},1700080169,10
{},1700080174,10
{},1700080179,10
{},1700080184,10
{},1700080189,10
{},1700080194,10
{},1700080199,10
{},1700080204,10
{},1700080209,10
{},1700080214,10
{},1700080219,10
{},1700080224,10
{},1700080229,10
{},1700080234,10
{},1700080239,10
{},1700080244,10
{},1700080249,10
{},1700080254,10
{},1700080259,10
{},1700080264,10
{},1700080269,10
{},1700080274,10
{},1700080279,10
{},1700080284,10
{},1700080289,10
{},1700080294,10
{},1700080299,10
{},1700080304,10
{},1700080309,10
{},1700080314,10
{},1700080319,10
{},1700080324,10
{},1700080329,10
{},1700080334,10
{},1700080339,10
{},1700080344,10
{},1700080349,10
{},1700080354,10
{},1700080359,10
{},1700080364,10
{},1700080369,10
{},1700080374,10
{},1700080379,10
{},1700080384,10
{},1700080389,10
{},1700080394,10
{},1700080399,10
{},1700080404,10
{},1700080409,10
{},1700080414,10
{},1700080419,10
{},1700080424,10
{},1700080429,10
{},1700080434,10
{},1700080439,10
{},1700080444,10
{},1700080449,10
{},1700080454,10
{},1700080459,10
{},1700080464,10
{},1700080469,10
{},1700080474,10
{},1700080479,10
{},1700080484,10
{},1700080489,10
{},1700080494,10
{},1700080499,10
{},1700080504,10
{},1700080509,10
{},1700080514,10
{},1700080519,10
{},1700080524,10
{},1700080529,10
{},1700080534,10
{},1700080539,10
{},1700080544,10
{},1700080549,10
{},1700080554,10
{},1700080559,10
{},1700080564,10
{},1700080569,10
{},1700080574,10
{},1700080579,10
{},1700080584,10
{},1700080589,10
{},1700080594,10
{},1700080599,10
{},1700080604,10
{},1700080609,10
{},1700080614,10
{},1700080619,10
{},1700080624,10
{},1700080629,10
{},1700080634,10
{},1700080639,10
{},1700080644,10
{},1700080649,10
{},1700080654,10
{},1700080659,10
{},1700080664,10
{},1700080669,10
{},1700080674,10
{},1700080679,10
{},1700080684,10
{},1700080689,10
{},1700080694,10
{},1700080699,10
{},1700080704,10
{},1700080709,10
{},1700080714,10
{},1700080719,10
{},1700080724,10
{},1700080729,10
{},1700080734,10
{},1700080739,10
{},1700080744,10
{},1700080749,10
{},1700080754,10
{},1700080759,10
{},1700080764,10
{},1700080769,10
{},1700080774,10
{},1700080779,10
{},1700080784,0.086562486993694
{},1700080789,0.04825574694380405
{},1700080794,0.0370213898830729
{},1700080799,0.028851024261980083
{},1700080804,0.022003559239985836
{},1700080809,0.01850799361871818
{},1700080814,0.013480763878344812
{},1700080819,0.013397583642401645
{},1700080824,0.01339758364240162
{},1700080829,0.013351772529308019
{},1700080834,0.013351772529307993
{},1700080839,0.013296682106136944
{},1700080844,0.013296682106137006
{},1700080849,0.013203874693831039
{},1700080854,0.01320387469383099
{},1700080859,0.013112831425366256
{},1700080864,0.013112831425366348
{},1700080869,0.013046324729006119
{},1700080874,0.013046324729006142
{},1700080879,0.012995362390504374
{},1700080884,0.012995362390504549
{},1700080889,0.01291800987593871
{},1700080894,0.012918009875938765
{},1700080899,0.012890671359324412
{},1700080904,0.012890671359324417
{},1700080909,0.012821990885863468
{},1700080914,0.012821990885863438
{},1700080919,0.012750753089593869
{},1700080924,0.012750753089593846
{},1700080929,0.01269410599513598
{},1700080934,0.012694105995136009
{},1700080939,0.01263727123121099
{},1700080944,0.01263727123121092
{},1700080949,0.012579834684349615
{},1700080954,0.01257981826318812
{},1700080959,0.012559831478937073
{},1700080964,0.012559805828475837
{},1700080969,0.012523177407346937
{},1700080974,0.012523146348102122
{},1700080979,0.01248237714140002
{},1700080984,0.012482341161917512
{},1700080989,0.01244317244086194
{},1700080994,0.01244313270086273
{},1700080999,0.01240870149587003
{},1700081004,0.012408662344631444
{},1700081009,0.012388050568868677
{},1700081014,0.012387994682358693
{},1700081019,0.012355401936365168
{},1700081024,0.012355311209489048
{},1700081029,0.012326392090624333
{},1700081034,0.012326280048956674
{},1700081039,0.01230791388624414
{},1700081044,0.012307756582927312
